Solver Configuration,LTL,Instance,Result Code,Wall Time
BSaLTic-DHf,persistence,bridge.1_recurrence_0.smv_k400.dimacs,UNSAT,1850.46
BSaLTic-EHf,persistence,bridge.1_recurrence_0.smv_k400.dimacs,UNSAT,2935.7
Kissat,persistence,bridge.1_recurrence_0.smv_k400.dimacs,wall clock limit exceeded,7200.0
MapleCOMSPS,persistence,bridge.1_recurrence_0.smv_k400.dimacs,UNSAT,3083.34
BSaLTic-DHf,safety,bridge.2_guarantee_0.smv_k400.dimacs,UNSAT,1328.68
BSaLTic-EHf,safety,bridge.2_guarantee_0.smv_k400.dimacs,UNSAT,1318.47
Kissat,safety,bridge.2_guarantee_0.smv_k400.dimacs,UNSAT,2522.24
MapleCOMSPS,safety,bridge.2_guarantee_0.smv_k400.dimacs,UNSAT,1770.17
BSaLTic-DHf,safety,bridge.2_k1600.dimacs,UNSAT,279.18
BSaLTic-EHf,safety,bridge.2_k1600.dimacs,UNSAT,382.5
Kissat,safety,bridge.2_k1600.dimacs,wall clock limit exceeded,7200.02
MapleCOMSPS,safety,bridge.2_k1600.dimacs,UNSAT,386.64
BSaLTic-DHf,safety,bridge.2_k200.dimacs,UNSAT,182.81
BSaLTic-EHf,safety,bridge.2_k200.dimacs,UNSAT,309.76
Kissat,safety,bridge.2_k200.dimacs,UNSAT,2019.78
MapleCOMSPS,safety,bridge.2_k200.dimacs,UNSAT,187.01
BSaLTic-DHf,safety,bridge.2_k2000.dimacs,UNSAT,381.55
BSaLTic-EHf,safety,bridge.2_k2000.dimacs,UNSAT,334.6
Kissat,safety,bridge.2_k2000.dimacs,wall clock limit exceeded,7200.02
MapleCOMSPS,safety,bridge.2_k2000.dimacs,UNSAT,293.66
BSaLTic-DHf,safety,bridge.2_k4000.dimacs,UNSAT,519.19
BSaLTic-EHf,safety,bridge.2_k4000.dimacs,UNSAT,421.93
Kissat,safety,bridge.2_k4000.dimacs,wall clock limit exceeded,7200.03
MapleCOMSPS,safety,bridge.2_k4000.dimacs,UNSAT,360.4
BSaLTic-DHf,safety,bridge.2_k600.dimacs,UNSAT,267.33
BSaLTic-EHf,safety,bridge.2_k600.dimacs,UNSAT,299.74
Kissat,safety,bridge.2_k600.dimacs,wall clock limit exceeded,7200.02
MapleCOMSPS,safety,bridge.2_k600.dimacs,UNSAT,292.19
BSaLTic-DHf,safety,bridge.2_k800.dimacs,UNSAT,225.19
BSaLTic-EHf,safety,bridge.2_k800.dimacs,UNSAT,213.34
Kissat,safety,bridge.2_k800.dimacs,wall clock limit exceeded,7200.02
MapleCOMSPS,safety,bridge.2_k800.dimacs,UNSAT,367.78
BSaLTic-DHf,recurrence,bridge.2_persistence_0.smv_k400.dimacs,UNSAT,276.4
BSaLTic-EHf,recurrence,bridge.2_persistence_0.smv_k400.dimacs,UNSAT,274.53
Kissat,recurrence,bridge.2_persistence_0.smv_k400.dimacs,wall clock limit exceeded,7200.0
MapleCOMSPS,recurrence,bridge.2_persistence_0.smv_k400.dimacs,UNSAT,472.2
BSaLTic-DHf,recurrence,bridge.2_persistence_0.smv_k600.dimacs,UNSAT,284.17
BSaLTic-EHf,recurrence,bridge.2_persistence_0.smv_k600.dimacs,UNSAT,479.47
Kissat,recurrence,bridge.2_persistence_0.smv_k600.dimacs,UNSAT,724.173
MapleCOMSPS,recurrence,bridge.2_persistence_0.smv_k600.dimacs,UNSAT,470.35
BSaLTic-DHf,recurrence,bridge.2_persistence_0.smv_k80.dimacs,UNSAT,317.61
BSaLTic-EHf,recurrence,bridge.2_persistence_0.smv_k80.dimacs,UNSAT,265.78
Kissat,recurrence,bridge.2_persistence_0.smv_k80.dimacs,UNSAT,95.7507
MapleCOMSPS,recurrence,bridge.2_persistence_0.smv_k80.dimacs,UNSAT,333.2
BSaLTic-DHf,recurrence,bridge.2_persistence_0.smv_k800.dimacs,UNSAT,358.52
BSaLTic-EHf,recurrence,bridge.2_persistence_0.smv_k800.dimacs,UNSAT,286.37
Kissat,recurrence,bridge.2_persistence_0.smv_k800.dimacs,UNSAT,831.139
MapleCOMSPS,recurrence,bridge.2_persistence_0.smv_k800.dimacs,UNSAT,693.03
BSaLTic-DHf,reactivity,bridge.2_reactivity_0.smv_k200.dimacs,UNSAT,446.24
BSaLTic-EHf,reactivity,bridge.2_reactivity_0.smv_k200.dimacs,UNSAT,522.73
Kissat,reactivity,bridge.2_reactivity_0.smv_k200.dimacs,wall clock limit exceeded,7200.02
MapleCOMSPS,reactivity,bridge.2_reactivity_0.smv_k200.dimacs,UNSAT,707.23
BSaLTic-DHf,reactivity,bridge.2_reactivity_0.smv_k400.dimacs,UNSAT,511.19
BSaLTic-EHf,reactivity,bridge.2_reactivity_0.smv_k400.dimacs,UNSAT,1051.79
Kissat,reactivity,bridge.2_reactivity_0.smv_k400.dimacs,UNSAT,1458.94
MapleCOMSPS,reactivity,bridge.2_reactivity_0.smv_k400.dimacs,UNSAT,380.85
BSaLTic-DHf,reactivity,bridge.2_reactivity_0.smv_k600.dimacs,UNSAT,469.85
BSaLTic-EHf,reactivity,bridge.2_reactivity_0.smv_k600.dimacs,UNSAT,539.37
Kissat,reactivity,bridge.2_reactivity_0.smv_k600.dimacs,UNSAT,377.031
MapleCOMSPS,reactivity,bridge.2_reactivity_0.smv_k600.dimacs,UNSAT,360.14
BSaLTic-DHf,reactivity,bridge.2_reactivity_0.smv_k80.dimacs,UNSAT,364.45
BSaLTic-EHf,reactivity,bridge.2_reactivity_0.smv_k80.dimacs,UNSAT,380.7
Kissat,reactivity,bridge.2_reactivity_0.smv_k80.dimacs,UNSAT,123.071
MapleCOMSPS,reactivity,bridge.2_reactivity_0.smv_k80.dimacs,UNSAT,365.74
BSaLTic-DHf,reactivity,bridge.2_reactivity_0.smv_k800.dimacs,UNSAT,220.08
BSaLTic-EHf,reactivity,bridge.2_reactivity_0.smv_k800.dimacs,UNSAT,814.98
Kissat,reactivity,bridge.2_reactivity_0.smv_k800.dimacs,UNSAT,590.837
MapleCOMSPS,reactivity,bridge.2_reactivity_0.smv_k800.dimacs,UNSAT,461.97
BSaLTic-DHf,persistence,bridge.2_recurrence_0.smv_k400.dimacs,UNSAT,2318.74
BSaLTic-EHf,persistence,bridge.2_recurrence_0.smv_k400.dimacs,UNSAT,2336.69
Kissat,persistence,bridge.2_recurrence_0.smv_k400.dimacs,UNSAT,5611.06
MapleCOMSPS,persistence,bridge.2_recurrence_0.smv_k400.dimacs,UNSAT,3686.83
BSaLTic-DHf,persistence,bridge.2_recurrence_0.smv_k80.dimacs,UNSAT,209.79
BSaLTic-EHf,persistence,bridge.2_recurrence_0.smv_k80.dimacs,UNSAT,189.43
Kissat,persistence,bridge.2_recurrence_0.smv_k80.dimacs,UNSAT,117.13
MapleCOMSPS,persistence,bridge.2_recurrence_0.smv_k80.dimacs,UNSAT,346.87
BSaLTic-DHf,safety,bridge.3_guarantee_0.smv_k100.dimacs,UNSAT,6904.29
BSaLTic-EHf,safety,bridge.3_guarantee_0.smv_k100.dimacs,wall clock limit exceeded,7200.0
Kissat,safety,bridge.3_guarantee_0.smv_k100.dimacs,UNSAT,1413.74
MapleCOMSPS,safety,bridge.3_guarantee_0.smv_k100.dimacs,wall clock limit exceeded,7200.0
BSaLTic-DHf,safety,bridge.3_guarantee_0.smv_k200.dimacs,UNSAT,5893.41
BSaLTic-EHf,safety,bridge.3_guarantee_0.smv_k200.dimacs,wall clock limit exceeded,7200.0
Kissat,safety,bridge.3_guarantee_0.smv_k200.dimacs,UNSAT,947.465
MapleCOMSPS,safety,bridge.3_guarantee_0.smv_k200.dimacs,wall clock limit exceeded,7200.0
BSaLTic-DHf,safety,bridge.3_guarantee_0.smv_k80.dimacs,wall clock limit exceeded,7200.0
BSaLTic-EHf,safety,bridge.3_guarantee_0.smv_k80.dimacs,wall clock limit exceeded,7200.0
Kissat,safety,bridge.3_guarantee_0.smv_k80.dimacs,UNSAT,1465.1
MapleCOMSPS,safety,bridge.3_guarantee_0.smv_k80.dimacs,wall clock limit exceeded,7200.0
BSaLTic-DHf,safety,bridge.3_k100.dimacs,wall clock limit exceeded,7200.0
BSaLTic-EHf,safety,bridge.3_k100.dimacs,UNSAT,6995.88
Kissat,safety,bridge.3_k100.dimacs,UNSAT,1247.32
MapleCOMSPS,safety,bridge.3_k100.dimacs,wall clock limit exceeded,7200.0
BSaLTic-DHf,safety,bridge.3_k1000.dimacs,wall clock limit exceeded,7200.0
BSaLTic-EHf,safety,bridge.3_k1000.dimacs,wall clock limit exceeded,7200.0
Kissat,safety,bridge.3_k1000.dimacs,wall clock limit exceeded,7200.02
MapleCOMSPS,safety,bridge.3_k1000.dimacs,UNSAT,5531.1
BSaLTic-DHf,safety,bridge.3_k1200.dimacs,UNSAT,6332.19
BSaLTic-EHf,safety,bridge.3_k1200.dimacs,wall clock limit exceeded,7200.0
Kissat,safety,bridge.3_k1200.dimacs,UNSAT,3001.91
MapleCOMSPS,safety,bridge.3_k1200.dimacs,wall clock limit exceeded,7200.0
BSaLTic-DHf,safety,bridge.3_k1400.dimacs,wall clock limit exceeded,7200.0
BSaLTic-EHf,safety,bridge.3_k1400.dimacs,UNSAT,5523.11
Kissat,safety,bridge.3_k1400.dimacs,wall clock limit exceeded,7200.02
MapleCOMSPS,safety,bridge.3_k1400.dimacs,wall clock limit exceeded,7200.0
BSaLTic-DHf,safety,bridge.3_k40.dimacs,UNSAT,689.39
BSaLTic-EHf,safety,bridge.3_k40.dimacs,UNSAT,1378.56
Kissat,safety,bridge.3_k40.dimacs,UNSAT,1664.81
MapleCOMSPS,safety,bridge.3_k40.dimacs,UNSAT,2446.81
BSaLTic-DHf,safety,bridge.3_k4000.dimacs,wall clock limit exceeded,7200.0
BSaLTic-EHf,safety,bridge.3_k4000.dimacs,wall clock limit exceeded,7200.0
Kissat,safety,bridge.3_k4000.dimacs,wall clock limit exceeded,7200.03
MapleCOMSPS,safety,bridge.3_k4000.dimacs,wall clock limit exceeded,7200.0
BSaLTic-DHf,safety,bridge.3_k60.dimacs,wall clock limit exceeded,7200.0
BSaLTic-EHf,safety,bridge.3_k60.dimacs,wall clock limit exceeded,7200.0
Kissat,safety,bridge.3_k60.dimacs,UNSAT,2514.49
MapleCOMSPS,safety,bridge.3_k60.dimacs,wall clock limit exceeded,7200.0
BSaLTic-DHf,safety,bridge.3_k600.dimacs,wall clock limit exceeded,7200.0
BSaLTic-EHf,safety,bridge.3_k600.dimacs,UNSAT,5289.93
Kissat,safety,bridge.3_k600.dimacs,UNSAT,6530.36
MapleCOMSPS,safety,bridge.3_k600.dimacs,UNSAT,5662.57
BSaLTic-DHf,safety,bridge.3_k800.dimacs,wall clock limit exceeded,7200.0
BSaLTic-EHf,safety,bridge.3_k800.dimacs,UNSAT,7019.07
Kissat,safety,bridge.3_k800.dimacs,wall clock limit exceeded,7200.02
MapleCOMSPS,safety,bridge.3_k800.dimacs,UNSAT,6730.65
BSaLTic-DHf,recurrence,bridge.3_persistence_0.smv_k100.dimacs,wall clock limit exceeded,7200.0
BSaLTic-EHf,recurrence,bridge.3_persistence_0.smv_k100.dimacs,wall clock limit exceeded,7200.0
Kissat,recurrence,bridge.3_persistence_0.smv_k100.dimacs,UNSAT,477.637
MapleCOMSPS,recurrence,bridge.3_persistence_0.smv_k100.dimacs,wall clock limit exceeded,7200.0
BSaLTic-DHf,recurrence,bridge.3_persistence_0.smv_k40.dimacs,UNSAT,2380.11
BSaLTic-EHf,recurrence,bridge.3_persistence_0.smv_k40.dimacs,UNSAT,1225.34
Kissat,recurrence,bridge.3_persistence_0.smv_k40.dimacs,UNSAT,59.5792
MapleCOMSPS,recurrence,bridge.3_persistence_0.smv_k40.dimacs,UNSAT,3147.68
BSaLTic-DHf,recurrence,bridge.3_persistence_0.smv_k600.dimacs,wall clock limit exceeded,7200.0
BSaLTic-EHf,recurrence,bridge.3_persistence_0.smv_k600.dimacs,wall clock limit exceeded,7200.0
Kissat,recurrence,bridge.3_persistence_0.smv_k600.dimacs,wall clock limit exceeded,7200.0
MapleCOMSPS,recurrence,bridge.3_persistence_0.smv_k600.dimacs,wall clock limit exceeded,7200.0
BSaLTic-DHf,reactivity,bridge.3_reactivity_0.smv_k100.dimacs,UNSAT,4242.45
BSaLTic-EHf,reactivity,bridge.3_reactivity_0.smv_k100.dimacs,UNSAT,5594.52
Kissat,reactivity,bridge.3_reactivity_0.smv_k100.dimacs,UNSAT,4588.91
MapleCOMSPS,reactivity,bridge.3_reactivity_0.smv_k100.dimacs,wall clock limit exceeded,7200.0
BSaLTic-DHf,reactivity,bridge.3_reactivity_0.smv_k200.dimacs,UNSAT,5138.29
BSaLTic-EHf,reactivity,bridge.3_reactivity_0.smv_k200.dimacs,wall clock limit exceeded,7200.0
Kissat,reactivity,bridge.3_reactivity_0.smv_k200.dimacs,UNSAT,4767.83
MapleCOMSPS,reactivity,bridge.3_reactivity_0.smv_k200.dimacs,UNSAT,7131.49
BSaLTic-DHf,reactivity,bridge.3_reactivity_0.smv_k40.dimacs,UNSAT,7.15
BSaLTic-EHf,reactivity,bridge.3_reactivity_0.smv_k40.dimacs,UNSAT,8.01
Kissat,reactivity,bridge.3_reactivity_0.smv_k40.dimacs,UNSAT,8.41052
MapleCOMSPS,reactivity,bridge.3_reactivity_0.smv_k40.dimacs,UNSAT,7.35
BSaLTic-DHf,reactivity,bridge.3_reactivity_0.smv_k400.dimacs,UNSAT,6383.67
BSaLTic-EHf,reactivity,bridge.3_reactivity_0.smv_k400.dimacs,wall clock limit exceeded,7200.0
Kissat,reactivity,bridge.3_reactivity_0.smv_k400.dimacs,UNSAT,1597.03
MapleCOMSPS,reactivity,bridge.3_reactivity_0.smv_k400.dimacs,wall clock limit exceeded,7200.0
BSaLTic-DHf,reactivity,bridge.3_reactivity_0.smv_k600.dimacs,wall clock limit exceeded,7200.0
BSaLTic-EHf,reactivity,bridge.3_reactivity_0.smv_k600.dimacs,UNSAT,6900.86
Kissat,reactivity,bridge.3_reactivity_0.smv_k600.dimacs,UNSAT,4369.98
MapleCOMSPS,reactivity,bridge.3_reactivity_0.smv_k600.dimacs,wall clock limit exceeded,7200.0
BSaLTic-DHf,persistence,bridge.3_recurrence_0.smv_k40.dimacs,wall clock limit exceeded,7200.0
BSaLTic-EHf,persistence,bridge.3_recurrence_0.smv_k40.dimacs,wall clock limit exceeded,7200.0
Kissat,persistence,bridge.3_recurrence_0.smv_k40.dimacs,UNSAT,80.8174
MapleCOMSPS,persistence,bridge.3_recurrence_0.smv_k40.dimacs,wall clock limit exceeded,7200.0
BSaLTic-DHf,obligation,bridgeriddle_obligation_0.smv_k2000.dimacs,SAT,5.44
BSaLTic-EHf,obligation,bridgeriddle_obligation_0.smv_k2000.dimacs,SAT,5.45
Kissat,obligation,bridgeriddle_obligation_0.smv_k2000.dimacs,SAT,1.69574
MapleCOMSPS,obligation,bridgeriddle_obligation_0.smv_k2000.dimacs,SAT,5.53
BSaLTic-DHf,obligation,bridgeriddle_obligation_0.smv_k40.dimacs,SAT,0.03
BSaLTic-EHf,obligation,bridgeriddle_obligation_0.smv_k40.dimacs,SAT,0.02
Kissat,obligation,bridgeriddle_obligation_0.smv_k40.dimacs,SAT,0.018056
MapleCOMSPS,obligation,bridgeriddle_obligation_0.smv_k40.dimacs,SAT,0.03
BSaLTic-DHf,obligation,bridgeriddle_obligation_0.smv_k400.dimacs,SAT,0.35
BSaLTic-EHf,obligation,bridgeriddle_obligation_0.smv_k400.dimacs,SAT,0.37
Kissat,obligation,bridgeriddle_obligation_0.smv_k400.dimacs,SAT,0.211526
MapleCOMSPS,obligation,bridgeriddle_obligation_0.smv_k400.dimacs,SAT,0.36
BSaLTic-DHf,obligation,bridgeriddle_obligation_0.smv_k600.dimacs,SAT,0.93
BSaLTic-EHf,obligation,bridgeriddle_obligation_0.smv_k600.dimacs,SAT,0.65
Kissat,obligation,bridgeriddle_obligation_0.smv_k600.dimacs,SAT,0.364302
MapleCOMSPS,obligation,bridgeriddle_obligation_0.smv_k600.dimacs,SAT,0.92
BSaLTic-DHf,obligation,bridgeriddle_obligation_0.smv_k800.dimacs,SAT,0.87
BSaLTic-EHf,obligation,bridgeriddle_obligation_0.smv_k800.dimacs,SAT,0.85
Kissat,obligation,bridgeriddle_obligation_0.smv_k800.dimacs,SAT,0.520602
MapleCOMSPS,obligation,bridgeriddle_obligation_0.smv_k800.dimacs,SAT,1.01
BSaLTic-DHf,reactivity,bridgeriddle_reactivity_0.smv_k400.dimacs,SAT,13.64
BSaLTic-EHf,reactivity,bridgeriddle_reactivity_0.smv_k400.dimacs,SAT,9.56
Kissat,reactivity,bridgeriddle_reactivity_0.smv_k400.dimacs,SAT,1.86633
MapleCOMSPS,reactivity,bridgeriddle_reactivity_0.smv_k400.dimacs,SAT,12.96
BSaLTic-DHf,reactivity,bridgeriddle_reactivity_0.smv_k600.dimacs,SAT,42.41
BSaLTic-EHf,reactivity,bridgeriddle_reactivity_0.smv_k600.dimacs,SAT,38.8
Kissat,reactivity,bridgeriddle_reactivity_0.smv_k600.dimacs,SAT,1.94426
MapleCOMSPS,reactivity,bridgeriddle_reactivity_0.smv_k600.dimacs,SAT,34.52
BSaLTic-DHf,persistence,brp_recurrence_0.smv_k1000.dimacs,SAT,378.82
BSaLTic-EHf,persistence,brp_recurrence_0.smv_k1000.dimacs,SAT,606.16
Kissat,persistence,brp_recurrence_0.smv_k1000.dimacs,SAT,646.743
MapleCOMSPS,persistence,brp_recurrence_0.smv_k1000.dimacs,SAT,706.23
BSaLTic-DHf,persistence,brp_recurrence_0.smv_k800.dimacs,SAT,246.76
BSaLTic-EHf,persistence,brp_recurrence_0.smv_k800.dimacs,SAT,152.09
Kissat,persistence,brp_recurrence_0.smv_k800.dimacs,SAT,189.66
MapleCOMSPS,persistence,brp_recurrence_0.smv_k800.dimacs,SAT,422.83
BSaLTic-EHf,guarantee,dme1_k100.dimacs,UNSAT,705.39
BSaLTic-DHf,guarantee,dme1_k100.dimacs,UNSAT,371.37
Kissat,guarantee,dme1_k100.dimacs,UNSAT,237.941
MapleCOMSPS,guarantee,dme1_k100.dimacs,UNSAT,486.04
BSaLTic-EHf,guarantee,dme1_k2000.dimacs,wall clock limit exceeded,7200.0
BSaLTic-DHf,guarantee,dme1_k2000.dimacs,wall clock limit exceeded,7200.0
Kissat,guarantee,dme1_k2000.dimacs,wall clock limit exceeded,7200.02
MapleCOMSPS,guarantee,dme1_k2000.dimacs,wall clock limit exceeded,7200.0
BSaLTic-DHf,safety,dme1_neg.smv_k6000.dimacs,wall clock limit exceeded,7200.0
BSaLTic-EHf,safety,dme1_neg.smv_k6000.dimacs,wall clock limit exceeded,7200.0
Kissat,safety,dme1_neg.smv_k6000.dimacs,SAT,172.055
MapleCOMSPS,safety,dme1_neg.smv_k6000.dimacs,wall clock limit exceeded,7200.0
BSaLTic-DHf,obligation,dme1_obligation_0.smv_k200.dimacs,SAT,0.91
BSaLTic-EHf,obligation,dme1_obligation_0.smv_k200.dimacs,SAT,0.88
Kissat,obligation,dme1_obligation_0.smv_k200.dimacs,SAT,1.02086
MapleCOMSPS,obligation,dme1_obligation_0.smv_k200.dimacs,SAT,0.88
BSaLTic-DHf,obligation,dme1_obligation_0.smv_k40.dimacs,SAT,0.07
BSaLTic-EHf,obligation,dme1_obligation_0.smv_k40.dimacs,SAT,0.07
Kissat,obligation,dme1_obligation_0.smv_k40.dimacs,SAT,0.091666
MapleCOMSPS,obligation,dme1_obligation_0.smv_k40.dimacs,SAT,0.08
BSaLTic-DHf,obligation,dme1_obligation_0.smv_k400.dimacs,SAT,61.99
BSaLTic-EHf,obligation,dme1_obligation_0.smv_k400.dimacs,SAT,5.9
Kissat,obligation,dme1_obligation_0.smv_k400.dimacs,SAT,5.31673
MapleCOMSPS,obligation,dme1_obligation_0.smv_k400.dimacs,SAT,16.85
BSaLTic-DHf,obligation,dme1_obligation_0.smv_k600.dimacs,SAT,123.43
BSaLTic-EHf,obligation,dme1_obligation_0.smv_k600.dimacs,SAT,601.48
Kissat,obligation,dme1_obligation_0.smv_k600.dimacs,SAT,3.70146
MapleCOMSPS,obligation,dme1_obligation_0.smv_k600.dimacs,SAT,55.7
BSaLTic-DHf,obligation,dme1_obligation_0.smv_k80.dimacs,SAT,0.12
BSaLTic-EHf,obligation,dme1_obligation_0.smv_k80.dimacs,SAT,0.12
Kissat,obligation,dme1_obligation_0.smv_k80.dimacs,SAT,0.134903
MapleCOMSPS,obligation,dme1_obligation_0.smv_k80.dimacs,SAT,0.11
BSaLTic-DHf,obligation,dme1_obligation_0.smv_k800.dimacs,SAT,217.79
BSaLTic-EHf,obligation,dme1_obligation_0.smv_k800.dimacs,SAT,460.2
Kissat,obligation,dme1_obligation_0.smv_k800.dimacs,SAT,16.8444
MapleCOMSPS,obligation,dme1_obligation_0.smv_k800.dimacs,SAT,151.77
BSaLTic-DHf,recurrence,dme1_persistence_0.smv_k1000.dimacs,SAT,1913.89
BSaLTic-EHf,recurrence,dme1_persistence_0.smv_k1000.dimacs,SAT,410.62
Kissat,recurrence,dme1_persistence_0.smv_k1000.dimacs,SAT,54.7789
MapleCOMSPS,recurrence,dme1_persistence_0.smv_k1000.dimacs,SAT,6204.34
BSaLTic-DHf,recurrence,dme1_persistence_0.smv_k800.dimacs,SAT,1094.14
BSaLTic-EHf,recurrence,dme1_persistence_0.smv_k800.dimacs,SAT,850.63
Kissat,recurrence,dme1_persistence_0.smv_k800.dimacs,SAT,6.61608
MapleCOMSPS,recurrence,dme1_persistence_0.smv_k800.dimacs,SAT,4178.67
BSaLTic-DHf,reactivity,dme1_reactivity_0.smv_k100.dimacs,SAT,0.91
BSaLTic-EHf,reactivity,dme1_reactivity_0.smv_k100.dimacs,SAT,0.99
Kissat,reactivity,dme1_reactivity_0.smv_k100.dimacs,SAT,1.44165
MapleCOMSPS,reactivity,dme1_reactivity_0.smv_k100.dimacs,SAT,0.98
BSaLTic-DHf,reactivity,dme1_reactivity_0.smv_k200.dimacs,SAT,21.46
BSaLTic-EHf,reactivity,dme1_reactivity_0.smv_k200.dimacs,SAT,22.3
Kissat,reactivity,dme1_reactivity_0.smv_k200.dimacs,SAT,3.69422
MapleCOMSPS,reactivity,dme1_reactivity_0.smv_k200.dimacs,SAT,22.99
BSaLTic-EHf,guarantee,dme2_k200.dimacs,wall clock limit exceeded,7200.0
BSaLTic-DHf,guarantee,dme2_k200.dimacs,wall clock limit exceeded,7200.0
Kissat,guarantee,dme2_k200.dimacs,wall clock limit exceeded,7200.01
MapleCOMSPS,guarantee,dme2_k200.dimacs,wall clock limit exceeded,7200.0
BSaLTic-DHf,obligation,dme2_obligation_0.smv_k100.dimacs,SAT,0.6
BSaLTic-EHf,obligation,dme2_obligation_0.smv_k100.dimacs,SAT,0.61
Kissat,obligation,dme2_obligation_0.smv_k100.dimacs,SAT,0.706033
MapleCOMSPS,obligation,dme2_obligation_0.smv_k100.dimacs,SAT,0.52
BSaLTic-DHf,obligation,dme2_obligation_0.smv_k400.dimacs,SAT,162.86
BSaLTic-EHf,obligation,dme2_obligation_0.smv_k400.dimacs,SAT,5.72
Kissat,obligation,dme2_obligation_0.smv_k400.dimacs,SAT,10.2708
MapleCOMSPS,obligation,dme2_obligation_0.smv_k400.dimacs,SAT,16.4
BSaLTic-DHf,obligation,dme2_obligation_0.smv_k600.dimacs,SAT,1.89
BSaLTic-EHf,obligation,dme2_obligation_0.smv_k600.dimacs,SAT,1.74
Kissat,obligation,dme2_obligation_0.smv_k600.dimacs,SAT,948.842
MapleCOMSPS,obligation,dme2_obligation_0.smv_k600.dimacs,SAT,2.59
BSaLTic-DHf,obligation,dme2_obligation_0.smv_k80.dimacs,SAT,0.18
BSaLTic-EHf,obligation,dme2_obligation_0.smv_k80.dimacs,SAT,0.18
Kissat,obligation,dme2_obligation_0.smv_k80.dimacs,SAT,0.681228
MapleCOMSPS,obligation,dme2_obligation_0.smv_k80.dimacs,SAT,0.15
BSaLTic-DHf,obligation,dme2_obligation_0.smv_k800.dimacs,SAT,2.69
BSaLTic-EHf,obligation,dme2_obligation_0.smv_k800.dimacs,SAT,3.45
Kissat,obligation,dme2_obligation_0.smv_k800.dimacs,SAT,3721.79
MapleCOMSPS,obligation,dme2_obligation_0.smv_k800.dimacs,SAT,4.05
BSaLTic-DHf,recurrence,dme2_persistence_0.smv_k1000.dimacs,SAT,6.18
BSaLTic-EHf,recurrence,dme2_persistence_0.smv_k1000.dimacs,SAT,6.04
Kissat,recurrence,dme2_persistence_0.smv_k1000.dimacs,SAT,10.6207
MapleCOMSPS,recurrence,dme2_persistence_0.smv_k1000.dimacs,SAT,9.53
BSaLTic-DHf,recurrence,dme2_persistence_0.smv_k400.dimacs,SAT,200.1
BSaLTic-EHf,recurrence,dme2_persistence_0.smv_k400.dimacs,SAT,17.98
Kissat,recurrence,dme2_persistence_0.smv_k400.dimacs,SAT,118.97
MapleCOMSPS,recurrence,dme2_persistence_0.smv_k400.dimacs,SAT,59.09
BSaLTic-DHf,reactivity,dme2_reactivity_0.smv_k200.dimacs,SAT,38.51
BSaLTic-EHf,reactivity,dme2_reactivity_0.smv_k200.dimacs,SAT,27.63
Kissat,reactivity,dme2_reactivity_0.smv_k200.dimacs,SAT,15.0478
MapleCOMSPS,reactivity,dme2_reactivity_0.smv_k200.dimacs,SAT,28.48
BSaLTic-DHf,reactivity,dme2_reactivity_0.smv_k400.dimacs,SAT,801.59
BSaLTic-EHf,reactivity,dme2_reactivity_0.smv_k400.dimacs,SAT,771.68
Kissat,reactivity,dme2_reactivity_0.smv_k400.dimacs,SAT,141.894
MapleCOMSPS,reactivity,dme2_reactivity_0.smv_k400.dimacs,SAT,740.27
BSaLTic-DHf,obligation,dpd75_obligation_0.smv_k100.dimacs,SAT,49.28
BSaLTic-EHf,obligation,dpd75_obligation_0.smv_k100.dimacs,SAT,30.62
Kissat,obligation,dpd75_obligation_0.smv_k100.dimacs,SAT,572.267
MapleCOMSPS,obligation,dpd75_obligation_0.smv_k100.dimacs,SAT,62.03
BSaLTic-DHf,obligation,dpd75_obligation_0.smv_k40.dimacs,SAT,3.93
BSaLTic-EHf,obligation,dpd75_obligation_0.smv_k40.dimacs,SAT,3.98
Kissat,obligation,dpd75_obligation_0.smv_k40.dimacs,SAT,26.0929
MapleCOMSPS,obligation,dpd75_obligation_0.smv_k40.dimacs,SAT,6.22
BSaLTic-DHf,obligation,dpd75_obligation_0.smv_k80.dimacs,SAT,13.42
BSaLTic-EHf,obligation,dpd75_obligation_0.smv_k80.dimacs,SAT,14.48
Kissat,obligation,dpd75_obligation_0.smv_k80.dimacs,SAT,202.329
MapleCOMSPS,obligation,dpd75_obligation_0.smv_k80.dimacs,SAT,12.74
BSaLTic-DHf,recurrence,dpd75_persistence_0.smv_k100.dimacs,SAT,101.66
BSaLTic-EHf,recurrence,dpd75_persistence_0.smv_k100.dimacs,SAT,136.8
Kissat,recurrence,dpd75_persistence_0.smv_k100.dimacs,SAT,564.173
MapleCOMSPS,recurrence,dpd75_persistence_0.smv_k100.dimacs,SAT,95.04
BSaLTic-DHf,recurrence,dpd75_persistence_0.smv_k1000.dimacs,wall clock limit exceeded,7200.0
BSaLTic-EHf,recurrence,dpd75_persistence_0.smv_k1000.dimacs,wall clock limit exceeded,7200.0
Kissat,recurrence,dpd75_persistence_0.smv_k1000.dimacs,wall clock limit exceeded,7200.0
MapleCOMSPS,recurrence,dpd75_persistence_0.smv_k1000.dimacs,wall clock limit exceeded,7200.0
BSaLTic-DHf,recurrence,dpd75_persistence_0.smv_k200.dimacs,SAT,675.66
BSaLTic-EHf,recurrence,dpd75_persistence_0.smv_k200.dimacs,SAT,299.7
Kissat,recurrence,dpd75_persistence_0.smv_k200.dimacs,SAT,4459.86
